
MGV-GENOME-0237056_29, VPC-287, NULL
MGV-GENOME-0315725_90, VPC-3984, NULL
MGV-GENOME-0225532_20, VPC-8, Siphoviridae
MGV-GENOME-0305404_12, VPC-484, Myoviridae
MGV-GENOME-0240724_39, VPC-358, Siphoviridae
MGV-GENOME-0311398_20, VPC-1219, Siphoviridae
MGV-GENOME-0122818_2, VPC-307, Siphoviridae
MGV-GENOME-0235693_19, VPC-283, Siphoviridae
MGV-GENOME-0259076_27, VPC-287, NULL
MGV-GENOME-0317073_50, VPC-27, Myoviridae
MGV-GENOME-0240409_44, VPC-1988, NULL
MGV-GENOME-0271847_29, VPC-656, Myoviridae
MGV-GENOME-0272352_40, VPC-3454, NULL
MGV-GENOME-0261985_29, VPC-787, Siphoviridae
MGV-GENOME-0352243_68, VPC-69, Siphoviridae
MGV-GENOME-0309380_7, VPC-885, Myoviridae
MGV-GENOME-4435144_45, VPC-152, NULL
MGV-GENOME-0250015_11, VPC-134721, Siphoviridae
MGV-GENOME-0302161_33, VPC-27, Myoviridae
MGV-GENOME-0352105_103, VPC-8, NULL
MGV-GENOME-0371034_57, VPC-3444, NULL
MGV-GENOME-0187622_14, VPC-358, Siphoviridae
MGV-GENOME-0266737_24, VPC-69, Siphoviridae
MGV-GENOME-0225842_14, VPC-307, NULL
MGV-GENOME-0274928_25, VPC-4591, Siphoviridae
MGV-GENOME-0225584_11, VPC-7708, crAss-phage
MGV-GENOME-0270634_41, VPC-656, Myoviridae
MGV-GENOME-0129565_6, VPC-20126, Siphoviridae
MGV-GENOME-0235228_15, VPC-8, Siphoviridae
MGV-GENOME-0205299_3, VPC-2734, Siphoviridae
MGV-GENOME-0215794_23, VPC-656, Myoviridae
MGV-GENOME-0207447_40, VPC-287, NULL
MGV-GENOME-0281804_13, VPC-152, NULL
MGV-GENOME-0286919_35, VPC-27, Myoviridae
MGV-GENOME-0244504_24, VPC-287, NULL
MGV-GENOME-0324389_67, VPC-9, NULL
MGV-GENOME-0351884_47, VPC-4562, NULL
MGV-GENOME-0251255_29, VPC-713, Siphoviridae
MGV-GENOME-4402707_29, VPC-268, Siphoviridae
MGV-GENOME-0320409_3, VPC-69, Siphoviridae
MGV-GENOME-0178216_14, VPC-562, NULL
MGV-GENOME-0271793_25, VPC-27, Myoviridae
MGV-GENOME-0176474_1, VPC-35584, NULL
MGV-GENOME-0219425_16, VPC-4560, Siphoviridae
MGV-GENOME-0299223_33, VPC-152, NULL
MGV-GENOME-0298857_36, VPC-62520, Siphoviridae
MGV-GENOME-0154052_16, VPC-8, Siphoviridae
MGV-GENOME-0369414_59, VPC-11167, NULL
MGV-GENOME-0302500_27, VPC-502, Myoviridae
MGV-GENOME-0177576_22, VPC-713, Siphoviridae
MGV-GENOME-0299753_33, VPC-1718, Myoviridae
MGV-GENOME-0256721_31, VPC-283, Siphoviridae
MGV-GENOME-0251081_3, VPC-287, Siphoviridae
MGV-GENOME-4416424_34, VPC-152, NULL
MGV-GENOME-0207772_22, VPC-268, Siphoviridae
MGV-GENOME-0243570_34, VPC-9, Siphoviridae
MGV-GENOME-0214845_22, VPC-502, Myoviridae
MGV-GENOME-0230413_11, VPC-1589, Siphoviridae
MGV-GENOME-0204679_7, VPC-268, NULL
MGV-GENOME-0206016_30, VPC-287, NULL
MGV-GENOME-0233340_23, VPC-656, Myoviridae
MGV-GENOME-0260643_21, VPC-787, Siphoviridae
MGV-GENOME-4420705_19, VPC-1916, NULL
MGV-GENOME-0224631_20, VPC-27, Myoviridae
MGV-GENOME-0321077_51, VPC-656, NULL
MGV-GENOME-0307874_19, VPC-8, Siphoviridae
MGV-GENOME-0345132_19, VPC-9, Siphoviridae
MGV-GENOME-0243868_32, VPC-307, Myoviridae
MGV-GENOME-0200726_23, VPC-27, Myoviridae
MGV-GENOME-0188852_38, VPC-9, Siphoviridae
MGV-GENOME-0344221_27, VPC-744, NULL
MGV-GENOME-0213947_21, VPC-4196, NULL
MGV-GENOME-0282554_47, VPC-358, Siphoviridae
MGV-GENOME-0304690_60, VPC-27, Myoviridae
MGV-GENOME-0260220_62, VPC-13307, Siphoviridae
MGV-GENOME-0221272_16, VPC-268, Siphoviridae
MGV-GENOME-0259225_48, VPC-3454, NULL
MGV-GENOME-0336554_52, VPC-744, NULL
MGV-GENOME-0210612_18, VPC-358, Siphoviridae
MGV-GENOME-0248844_22, VPC-502, NULL
MGV-GENOME-0262104_15, VPC-9, Siphoviridae
MGV-GENOME-0198515_19, VPC-283, Siphoviridae
MGV-GENOME-0192708_21, VPC-11939, Podoviridae
MGV-GENOME-0183284_34, VPC-6045, Siphoviridae
MGV-GENOME-0300381_27, VPC-1219, Siphoviridae
MGV-GENOME-0310620_10, VPC-69, Siphoviridae
MGV-GENOME-0370347_2, VPC-3444, NULL
MGV-GENOME-0342331_84, VPC-69, Siphoviridae
MGV-GENOME-0150632_21, VPC-283, Siphoviridae
MGV-GENOME-0182647_21, VPC-1718, Myoviridae
MGV-GENOME-0135080_20, VPC-8, Siphoviridae
MGV-GENOME-0313025_22, VPC-13707, NULL
MGV-GENOME-0150093_21, VPC-1219, Siphoviridae
MGV-GENOME-0335020_29, VPC-7371, NULL
MGV-GENOME-0207456_5, VPC-1988, Siphoviridae
MGV-GENOME-0163741_17, VPC-287, NULL
MGV-GENOME-0266680_15, VPC-4591, Siphoviridae
MGV-GENOME-0203101_15, VPC-1387, Siphoviridae
MGV-GENOME-0218964_18, VPC-656, NULL
MGV-GENOME-0355315_11, VPC-5791, Myoviridae
MGV-GENOME-0334261_41, VPC-69, Siphoviridae
MGV-GENOME-4432442_68, VPC-124655, Myoviridae
MGV-GENOME-0301878_44, VPC-9, NULL
MGV-GENOME-0318578_69, VPC-69, Siphoviridae
MGV-GENOME-0252714_26, VPC-1916, Myoviridae
MGV-GENOME-0167725_21, VPC-8, Siphoviridae
MGV-GENOME-0345462_22, VPC-484, NULL
MGV-GENOME-0303196_24, VPC-9, NULL
MGV-GENOME-0292236_27, VPC-8543, Siphoviridae
MGV-GENOME-0139681_6, VPC-8, Siphoviridae
MGV-GENOME-4361067_4, VPC-1387, Siphoviridae
MGV-GENOME-0324619_68, VPC-9, Siphoviridae
MGV-GENOME-0231063_24, VPC-8, Siphoviridae
MGV-GENOME-0275702_32, VPC-1589, Siphoviridae
MGV-GENOME-0306561_24, VPC-9, NULL
MGV-GENOME-0317487_40, VPC-656, Myoviridae
MGV-GENOME-0278665_29, VPC-21761, NULL
MGV-GENOME-0321418_58, VPC-9, NULL
MGV-GENOME-0331773_65, VPC-69, Siphoviridae
MGV-GENOME-0353796_65, VPC-4562, NULL
MGV-GENOME-0260084_56, VPC-283, Siphoviridae
MGV-GENOME-0304024_65, VPC-8, Siphoviridae
MGV-GENOME-0202645_19, VPC-8, Siphoviridae
MGV-GENOME-0216380_19, VPC-287, NULL
MGV-GENOME-0141078_16, VPC-307, Siphoviridae
MGV-GENOME-0260273_18, VPC-1916, NULL
MGV-GENOME-0321582_43, VPC-152, Siphoviridae
MGV-GENOME-0232076_25, VPC-8, NULL
MGV-GENOME-0266874_27, VPC-358, Siphoviridae
MGV-GENOME-0308643_23, VPC-1964, Myoviridae
MGV-GENOME-0345716_34, VPC-885, Myoviridae
MGV-GENOME-0264356_31, VPC-287, NULL
MGV-GENOME-0248247_23, VPC-8, NULL
MGV-GENOME-0142786_11, VPC-8, Siphoviridae
MGV-GENOME-0318141_26, VPC-287, NULL
MGV-GENOME-0275653_29, VPC-1988, Siphoviridae
MGV-GENOME-0207999_13, VPC-8, Siphoviridae
MGV-GENOME-0282169_28, VPC-1988, Siphoviridae
MGV-GENOME-0322901_41, VPC-5885, Siphoviridae
MGV-GENOME-0305744_74, VPC-69, Siphoviridae
MGV-GENOME-0219572_20, VPC-8, Siphoviridae
MGV-GENOME-0332766_64, VPC-69, Siphoviridae
MGV-GENOME-0252460_23, VPC-69, Siphoviridae
MGV-GENOME-0310329_22, VPC-484, NULL
MGV-GENOME-0295034_39, VPC-656, Myoviridae
MGV-GENOME-0353723_72, VPC-69, Siphoviridae
MGV-GENOME-0353694_63, VPC-5791, NULL
MGV-GENOME-0141840_32, VPC-787, Siphoviridae
MGV-GENOME-0248403_23, VPC-8, NULL
MGV-GENOME-0314257_50, VPC-268, NULL
MGV-GENOME-0326848_42, VPC-152, NULL
MGV-GENOME-0317932_24, VPC-744, NULL
MGV-GENOME-0240648_3, VPC-152, NULL
MGV-GENOME-0175794_12, VPC-307, Siphoviridae
MGV-GENOME-0249534_40, VPC-502, Myoviridae
MGV-GENOME-0339383_55, VPC-69, Siphoviridae
MGV-GENOME-0183750_18, VPC-33589, NULL
MGV-GENOME-0332543_62, VPC-484, NULL
MGV-GENOME-0201873_28, VPC-713, Siphoviridae
MGV-GENOME-0306039_28, VPC-27, Myoviridae
MGV-GENOME-0275348_29, VPC-152, NULL
MGV-GENOME-0231821_48, VPC-787, NULL
MGV-GENOME-0180605_21, VPC-8, Siphoviridae
MGV-GENOME-0307018_33, VPC-268, NULL
MGV-GENOME-0268543_15, VPC-1589, Siphoviridae
MGV-GENOME-0356390_128, VPC-4562, NULL
MGV-GENOME-0268844_13, VPC-3454, Myoviridae
MGV-GENOME-0338019_51, VPC-885, Myoviridae
MGV-GENOME-0208373_31, VPC-27, Myoviridae
MGV-GENOME-0264407_2, VPC-69, Siphoviridae
MGV-GENOME-0287409_11, VPC-9, NULL
MGV-GENOME-0197809_11, VPC-8, NULL
MGV-GENOME-0278902_26, VPC-1718, Myoviridae
MGV-GENOME-0198325_12, VPC-656, NULL
MGV-GENOME-4411506_7, VPC-27, Myoviridae
MGV-GENOME-0268498_23, VPC-713, Siphoviridae
MGV-GENOME-0268465_28, VPC-287, NULL
MGV-GENOME-0334522_24, VPC-713, Siphoviridae
MGV-GENOME-0191534_21, VPC-358, Siphoviridae
MGV-GENOME-0237479_7, VPC-27, Myoviridae
MGV-GENOME-0193800_18, VPC-1988, NULL
MGV-GENOME-0215989_5, VPC-307, Siphoviridae
MGV-GENOME-0178619_27, VPC-8, NULL
MGV-GENOME-0313349_62, VPC-69, Siphoviridae
MGV-GENOME-0331601_29, VPC-152, NULL
MGV-GENOME-0340971_78, VPC-69, Siphoviridae
MGV-GENOME-0218464_22, VPC-268, Siphoviridae
MGV-GENOME-0214569_27, VPC-787, Siphoviridae
MGV-GENOME-0209247_5, VPC-27, Myoviridae
MGV-GENOME-0320522_24, VPC-283, Siphoviridae
MGV-GENOME-0167415_3, VPC-2734, Siphoviridae
MGV-GENOME-0328899_31, VPC-9, NULL
MGV-GENOME-0275853_29, VPC-283, Siphoviridae
MGV-GENOME-0236664_21, VPC-562, Myoviridae
MGV-GENOME-0127267_19, VPC-1219, Siphoviridae
MGV-GENOME-0309507_49, VPC-27, Myoviridae
MGV-GENOME-0214825_24, VPC-713, NULL
MGV-GENOME-0282996_34, VPC-9, NULL
MGV-GENOME-0243961_29, VPC-27, Myoviridae
MGV-GENOME-0326192_32, VPC-152, NULL
MGV-GENOME-0285247_19, VPC-13033, Siphoviridae
MGV-GENOME-0187731_16, VPC-42965, Siphoviridae
MGV-GENOME-0364098_39, VPC-5791, NULL
MGV-GENOME-0354108_125, VPC-4562, NULL
MGV-GENOME-0289101_44, VPC-358, Siphoviridae
MGV-GENOME-0229638_20, VPC-1589, Siphoviridae
MGV-GENOME-0249402_36, VPC-8543, Siphoviridae
MGV-GENOME-0186118_13, VPC-6045, Siphoviridae
MGV-GENOME-0297521_25, VPC-562, NULL
MGV-GENOME-0217259_10, VPC-8, Siphoviridae
MGV-GENOME-0271224_17, VPC-358, Siphoviridae
MGV-GENOME-0342064_28, VPC-268, NULL
MGV-GENOME-0281755_40, VPC-502, Myoviridae
MGV-GENOME-0114424_27, VPC-2755, Siphoviridae
MGV-GENOME-0307960_31, VPC-885, Myoviridae
MGV-GENOME-0225144_1, VPC-113658, Siphoviridae
MGV-GENOME-0288437_4, VPC-4196, NULL
MGV-GENOME-0326099_42, VPC-152, NULL
MGV-GENOME-0280995_20, VPC-358, Siphoviridae
MGV-GENOME-0324328_24, VPC-75761, Siphoviridae
MGV-GENOME-0339765_30, VPC-744, NULL
MGV-GENOME-0184478_20, VPC-1916, NULL
MGV-GENOME-0333284_22, VPC-152, NULL
MGV-GENOME-0244912_35, VPC-69, Siphoviridae
MGV-GENOME-0187775_9, VPC-21761, Siphoviridae
MGV-GENOME-0294966_19, VPC-9, Siphoviridae
MGV-GENOME-0341059_61, VPC-9, NULL
MGV-GENOME-0344755_44, VPC-152, NULL
MGV-GENOME-0200845_24, VPC-1219, Siphoviridae
MGV-GENOME-0272563_20, VPC-4560, Siphoviridae
MGV-GENOME-4423521_26, VPC-268, Siphoviridae
MGV-GENOME-0246394_35, VPC-8, NULL
MGV-GENOME-0181785_22, VPC-562, NULL
MGV-GENOME-0179609_10, VPC-7708, NULL
MGV-GENOME-0239457_21, VPC-307, NULL
MGV-GENOME-0258770_27, VPC-1219, Siphoviridae
MGV-GENOME-0343557_84, VPC-9, NULL
MGV-GENOME-0256671_21, VPC-9, NULL
MGV-GENOME-0369918_69, VPC-152, NULL
MGV-GENOME-0171954_27, VPC-1219, Siphoviridae
MGV-GENOME-0327068_34, VPC-152, NULL
MGV-GENOME-0266097_26, VPC-283, Siphoviridae
MGV-GENOME-0228801_12, VPC-27, Myoviridae
MGV-GENOME-0199419_39, VPC-1718, Myoviridae
MGV-GENOME-0208732_26, VPC-7708, NULL
MGV-GENOME-0292114_22, VPC-268, NULL
MGV-GENOME-0366886_19, VPC-11167, NULL
MGV-GENOME-0242939_23, VPC-307, Siphoviridae
MGV-GENOME-0330987_65, VPC-9, NULL
MGV-GENOME-0278303_12, VPC-358, NULL
MGV-GENOME-0322419_34, VPC-36917, Siphoviridae
MGV-GENOME-0227550_21, VPC-6045, Siphoviridae
MGV-GENOME-0224878_7, VPC-283, Siphoviridae
MGV-GENOME-0256052_15, VPC-13307, Siphoviridae
MGV-GENOME-0236298_26, VPC-287, NULL
MGV-GENOME-0300502_12, VPC-27, NULL
MGV-GENOME-0257151_34, VPC-562, NULL
MGV-GENOME-0308613_31, VPC-1988, NULL
MGV-GENOME-0315065_42, VPC-502, NULL
MGV-GENOME-0317359_54, VPC-9, Siphoviridae
MGV-GENOME-0186158_28, VPC-4560, Siphoviridae
MGV-GENOME-0251555_30, VPC-656, Myoviridae
MGV-GENOME-0229268_8, VPC-268, NULL
MGV-GENOME-0334468_37, VPC-152, NULL
MGV-GENOME-0244001_3, VPC-8, Siphoviridae
MGV-GENOME-0214136_13, VPC-6766, Siphoviridae
MGV-GENOME-0233336_5, VPC-4591, Siphoviridae
MGV-GENOME-0334883_20, VPC-69, Siphoviridae
MGV-GENOME-0241679_3, VPC-1916, NULL
MGV-GENOME-0246830_34, VPC-27, Myoviridae
MGV-GENOME-0335998_80, VPC-9, NULL
MGV-GENOME-0211525_19, VPC-8, NULL
MGV-GENOME-0233943_26, VPC-268, NULL
MGV-GENOME-0338664_50, VPC-1964, NULL
MGV-GENOME-0246127_23, VPC-787, Siphoviridae
MGV-GENOME-0285380_33, VPC-1718, Myoviridae
MGV-GENOME-0222611_42, VPC-8, NULL
MGV-GENOME-0366984_58, VPC-11167, NULL
MGV-GENOME-0259132_27, VPC-287, NULL
MGV-GENOME-0274926_24, VPC-283, Siphoviridae
MGV-GENOME-0273983_33, VPC-3454, Myoviridae
MGV-GENOME-0191315_27, VPC-9, Siphoviridae
MGV-GENOME-0168710_4, VPC-713, Siphoviridae
MGV-GENOME-0227925_18, VPC-1589, Siphoviridae
MGV-GENOME-0322214_35, VPC-1964, Myoviridae
MGV-GENOME-0274832_1, VPC-9, Siphoviridae
MGV-GENOME-0284135_13, VPC-9, NULL
MGV-GENOME-0295833_47, VPC-1964, Myoviridae
MGV-GENOME-0329300_55, VPC-9, Siphoviridae
MGV-GENOME-0359917_27, VPC-152, NULL
MGV-GENOME-0293864_26, VPC-69, Siphoviridae
MGV-GENOME-0357377_10, VPC-5791, NULL
MGV-GENOME-0367879_96, VPC-3444, NULL
MGV-GENOME-0334588_86, VPC-69, Siphoviridae
MGV-GENOME-0249215_10, VPC-27, Myoviridae
MGV-GENOME-0230663_20, VPC-713, Myoviridae
MGV-GENOME-0249188_36, VPC-27, NULL
MGV-GENOME-0334813_47, VPC-268, NULL
MGV-GENOME-0285015_54, VPC-69, Siphoviridae
MGV-GENOME-0318838_40, VPC-656, NULL
MGV-GENOME-0179279_15, VPC-3454, NULL
MGV-GENOME-0269452_27, VPC-27, Myoviridae
MGV-GENOME-0265989_36, VPC-8, Siphoviridae
MGV-GENOME-0345870_37, VPC-268, NULL
MGV-GENOME-0304915_15, VPC-27, Myoviridae
MGV-GENOME-0220441_21, VPC-1916, NULL
MGV-GENOME-0256416_32, VPC-307, Siphoviridae
MGV-GENOME-0178942_11, VPC-8, Siphoviridae
MGV-GENOME-0258743_28, VPC-287, NULL
MGV-GENOME-0333181_46, VPC-1964, NULL
MGV-GENOME-0233142_21, VPC-713, Siphoviridae
MGV-GENOME-0227299_1, VPC-744, NULL
MGV-GENOME-0254546_13, VPC-268, Siphoviridae
MGV-GENOME-0302972_33, VPC-152, Siphoviridae
MGV-GENOME-0301961_37, VPC-268, NULL
MGV-GENOME-4422008_22, VPC-1219, Siphoviridae
MGV-GENOME-0334360_25, VPC-69, Siphoviridae
MGV-GENOME-0292493_60, VPC-9, Siphoviridae
MGV-GENOME-0186219_16, VPC-8, Siphoviridae
MGV-GENOME-0309433_23, VPC-1964, NULL
MGV-GENOME-0244571_22, VPC-502, Myoviridae
MGV-GENOME-0235016_27, VPC-8, NULL
MGV-GENOME-0302303_39, VPC-27, NULL
MGV-GENOME-0151677_10, VPC-8, Siphoviridae
MGV-GENOME-4347296_27, VPC-283, Siphoviridae
MGV-GENOME-0280797_39, VPC-1589, NULL
MGV-GENOME-0279762_28, VPC-27, NULL
MGV-GENOME-0175289_17, VPC-283, Siphoviridae
MGV-GENOME-0273605_16, VPC-1589, NULL
MGV-GENOME-0297391_29, VPC-656, Myoviridae
MGV-GENOME-0158034_33, VPC-787, Siphoviridae
MGV-GENOME-0280358_35, VPC-9, NULL
MGV-GENOME-0177478_5, VPC-2734, Siphoviridae
MGV-GENOME-0204360_15, VPC-287, NULL
MGV-GENOME-0316115_47, VPC-27, Myoviridae
MGV-GENOME-0143030_20, VPC-2734, NULL
MGV-GENOME-0222888_41, VPC-1916, NULL
MGV-GENOME-4210806_3, VPC-2755, Siphoviridae
MGV-GENOME-0216336_1, VPC-126946, Siphoviridae
MGV-GENOME-0228971_20, VPC-358, Siphoviridae
MGV-GENOME-4427849_30, VPC-1219, Siphoviridae
MGV-GENOME-0222824_24, VPC-8, Siphoviridae
MGV-GENOME-0335438_85, VPC-744, NULL
MGV-GENOME-0320627_32, VPC-744, NULL
MGV-GENOME-0365881_95, VPC-9, NULL
MGV-GENOME-0294373_39, VPC-656, Myoviridae
MGV-GENOME-0251275_37, VPC-9, Siphoviridae
MGV-GENOME-0349387_22, VPC-268, NULL
MGV-GENOME-0355363_43, VPC-4562, NULL
MGV-GENOME-0169195_8, VPC-3454, NULL
MGV-GENOME-0213791_31, VPC-283, Siphoviridae
MGV-GENOME-0278449_27, VPC-502, Siphoviridae
MGV-GENOME-0326863_26, VPC-9, NULL
MGV-GENOME-0108775_7, VPC-8, Siphoviridae
MGV-GENOME-0177298_11, VPC-8, Siphoviridae
MGV-GENOME-0246400_41, VPC-885, Myoviridae
MGV-GENOME-0267400_40, VPC-744, Siphoviridae
MGV-GENOME-0222036_10, VPC-1219, Siphoviridae
MGV-GENOME-0252016_26, VPC-307, NULL
MGV-GENOME-0299334_64, VPC-59845, NULL
MGV-GENOME-0201068_21, VPC-1387, Siphoviridae
MGV-GENOME-0228005_38, VPC-27, Myoviridae
MGV-GENOME-0047592_16, VPC-11010, Siphoviridae
MGV-GENOME-0217426_20, VPC-13033, Siphoviridae
MGV-GENOME-0196108_7, VPC-268, NULL
MGV-GENOME-0215949_22, VPC-268, Siphoviridae
MGV-GENOME-0174743_14, VPC-65491, NULL
MGV-GENOME-0227203_15, VPC-21199, Siphoviridae
MGV-GENOME-0234965_27, VPC-1589, Siphoviridae
MGV-GENOME-0238223_22, VPC-40863, NULL
MGV-GENOME-0331789_20, VPC-744, NULL
MGV-GENOME-0188125_33, VPC-1718, Myoviridae
MGV-GENOME-0324030_30, VPC-1589, NULL
MGV-GENOME-0272567_11, VPC-1387, Siphoviridae
MGV-GENOME-0113133_10, VPC-8, Siphoviridae
MGV-GENOME-0253043_20, VPC-1589, NULL
MGV-GENOME-0291533_11, VPC-9, NULL
MGV-GENOME-0242903_21, VPC-787, NULL
MGV-GENOME-0221663_33, VPC-152, NULL
MGV-GENOME-0269747_32, VPC-287, NULL
MGV-GENOME-0186296_20, VPC-8, NULL
MGV-GENOME-0309766_34, VPC-885, Myoviridae
MGV-GENOME-0151670_19, VPC-4560, Siphoviridae
MGV-GENOME-0284343_36, VPC-502, Myoviridae
MGV-GENOME-0338548_38, VPC-152, NULL
MGV-GENOME-0327211_25, VPC-8, NULL
MGV-GENOME-0329736_88, VPC-9, NULL
MGV-GENOME-0205723_20, VPC-1387, Siphoviridae
MGV-GENOME-0320888_38, VPC-885, Myoviridae
MGV-GENOME-0179149_31, VPC-3984, Siphoviridae
MGV-GENOME-0310644_40, VPC-27, Myoviridae
MGV-GENOME-0194405_18, VPC-307, Siphoviridae
MGV-GENOME-0146276_17, VPC-307, Siphoviridae
MGV-GENOME-0229374_35, VPC-7708, Siphoviridae
MGV-GENOME-0301550_34, VPC-9, NULL
MGV-GENOME-0322583_33, VPC-152, NULL
MGV-GENOME-0150671_10, VPC-283, Siphoviridae
MGV-GENOME-0377577_127, VPC-152, NULL
MGV-GENOME-0292245_44, VPC-744, Siphoviridae
MGV-GENOME-0326416_32, VPC-287, NULL
MGV-GENOME-0173168_22, VPC-562, Myoviridae
MGV-GENOME-0319543_25, VPC-307, Siphoviridae
MGV-GENOME-0303103_73, VPC-1718, Myoviridae
MGV-GENOME-0300599_39, VPC-27, Myoviridae
MGV-GENOME-0274141_36, VPC-885, Myoviridae
MGV-GENOME-0167494_3, VPC-8, Siphoviridae
MGV-GENOME-0303119_31, VPC-283, Siphoviridae
MGV-GENOME-0254136_55, VPC-33329, Siphoviridae
MGV-GENOME-0345937_46, VPC-1589, NULL
MGV-GENOME-0238086_19, VPC-8, Siphoviridae
MGV-GENOME-0325405_29, VPC-5147, NULL
MGV-GENOME-0325289_40, VPC-1964, Myoviridae
MGV-GENOME-0300208_43, VPC-7708, NULL
MGV-GENOME-0243082_19, VPC-307, Siphoviridae
MGV-GENOME-0330920_43, VPC-9, Siphoviridae
MGV-GENOME-0335351_25, VPC-484, NULL
MGV-GENOME-0232480_23, VPC-656, Myoviridae
MGV-GENOME-4152124_9, VPC-2755, Siphoviridae
MGV-GENOME-0203575_3, VPC-3454, Myoviridae
MGV-GENOME-4407114_50, VPC-62520, Siphoviridae
MGV-GENOME-0326336_64, VPC-5791, NULL
MGV-GENOME-0178126_16, VPC-8, Siphoviridae
MGV-GENOME-0283022_7, VPC-5147, NULL
MGV-GENOME-0302010_41, VPC-502, Myoviridae
MGV-GENOME-4427375_61, VPC-69, Siphoviridae
MGV-GENOME-0146816_16, VPC-713, Siphoviridae
MGV-GENOME-0271014_24, VPC-8, Siphoviridae
MGV-GENOME-0274096_27, VPC-268, Siphoviridae
MGV-GENOME-0332967_27, VPC-69, Siphoviridae
MGV-GENOME-0343262_39, VPC-713, Siphoviridae
MGV-GENOME-0188988_15, VPC-1387, Siphoviridae
MGV-GENOME-0312516_40, VPC-35584, NULL
MGV-GENOME-0245539_35, VPC-8406, Siphoviridae
MGV-GENOME-0236666_20, VPC-56153, Siphoviridae
MGV-GENOME-0202259_23, VPC-8, NULL
MGV-GENOME-0272102_20, VPC-27, Myoviridae
MGV-GENOME-0280166_28, VPC-1988, Siphoviridae
MGV-GENOME-0220837_33, VPC-562, NULL
MGV-GENOME-0245734_20, VPC-1219, Siphoviridae
MGV-GENOME-0264415_5, VPC-287, NULL
MGV-GENOME-0340018_27, VPC-152, NULL
MGV-GENOME-0283232_32, VPC-1219, Siphoviridae
MGV-GENOME-0344151_34, VPC-27, Myoviridae
MGV-GENOME-0325223_31, VPC-562, NULL
MGV-GENOME-0343977_21, VPC-744, NULL
MGV-GENOME-0312295_31, VPC-268, NULL
MGV-GENOME-0214409_7, VPC-27, Myoviridae
MGV-GENOME-0173935_14, VPC-787, Siphoviridae
MGV-GENOME-0229154_37, VPC-885, Myoviridae
MGV-GENOME-0227688_23, VPC-307, Siphoviridae
MGV-GENOME-0255345_27, VPC-287, NULL
MGV-GENOME-0190851_15, VPC-27, Myoviridae
MGV-GENOME-0230950_2, VPC-152, Siphoviridae
MGV-GENOME-0260153_15, VPC-502, Myoviridae
MGV-GENOME-0186010_18, VPC-283, Siphoviridae
MGV-GENOME-0299877_52, VPC-8, NULL
MGV-GENOME-0362439_26, VPC-1589, NULL
MGV-GENOME-0310077_38, VPC-27, Myoviridae
MGV-GENOME-0261532_31, VPC-8, NULL
MGV-GENOME-0195869_5, VPC-1916, NULL
MGV-GENOME-0174245_24, VPC-9, NULL
MGV-GENOME-0212576_28, VPC-152, NULL
MGV-GENOME-0254284_64, VPC-1916, NULL
MGV-GENOME-0231963_6, VPC-307, Siphoviridae
MGV-GENOME-0236569_33, VPC-152, Siphoviridae
MGV-GENOME-0374921_23, VPC-744, NULL
MGV-GENOME-0174958_22, VPC-20864, Siphoviridae
MGV-GENOME-0148390_4, VPC-7295, Siphoviridae
MGV-GENOME-0336719_74, VPC-69, Siphoviridae
MGV-GENOME-0300659_34, VPC-8, Siphoviridae
MGV-GENOME-0184733_21, VPC-358, NULL
MGV-GENOME-0133833_5, VPC-29351, Siphoviridae
MGV-GENOME-0252215_32, VPC-287, NULL
MGV-GENOME-0330104_76, VPC-484, NULL
MGV-GENOME-0265189_3, VPC-287, NULL
MGV-GENOME-0327432_26, VPC-268, NULL
MGV-GENOME-0203566_29, VPC-787, Siphoviridae
MGV-GENOME-0220160_24, VPC-69, Siphoviridae
MGV-GENOME-0140502_23, VPC-787, Siphoviridae
MGV-GENOME-0352249_93, VPC-5791, NULL
MGV-GENOME-0329999_4, VPC-1964, NULL
MGV-GENOME-0273128_36, VPC-9, NULL
MGV-GENOME-0288693_36, VPC-885, Myoviridae
MGV-GENOME-0120725_17, VPC-12361, NULL
MGV-GENOME-0260393_56, VPC-358, NULL
MGV-GENOME-0278207_55, VPC-27851, Siphoviridae
MGV-GENOME-0280021_40, VPC-283, Siphoviridae
MGV-GENOME-0323740_19, VPC-562, NULL
MGV-GENOME-0224234_46, VPC-8, NULL
MGV-GENOME-0366441_45, VPC-27, NULL
MGV-GENOME-0307065_20, VPC-27, NULL
MGV-GENOME-0323440_67, VPC-2755, Siphoviridae
MGV-GENOME-0190411_14, VPC-27, Myoviridae
MGV-GENOME-0224646_20, VPC-287, NULL
MGV-GENOME-0297259_61, VPC-502, NULL
MGV-GENOME-0231265_36, VPC-283, Siphoviridae
MGV-GENOME-0287459_42, VPC-27, NULL
MGV-GENOME-0331089_21, VPC-484, NULL
MGV-GENOME-0196872_37, VPC-309686, Siphoviridae
MGV-GENOME-0309579_58, VPC-9, NULL
MGV-GENOME-0199438_6, VPC-27, NULL
MGV-GENOME-4396588_27, VPC-27, Myoviridae
MGV-GENOME-0090408_2, VPC-20054, Siphoviridae
MGV-GENOME-0254635_51, VPC-3984, NULL
MGV-GENOME-0314416_21, VPC-1219, Siphoviridae
MGV-GENOME-0215225_18, VPC-8, Siphoviridae
MGV-GENOME-0281894_25, VPC-1988, Siphoviridae
MGV-GENOME-0368812_68, VPC-3444, NULL
